            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2373153.877083333, A.D. 1785-May-16 09:03:00.0000,  2.834447044271566E+08,  5.109664961281032E+07, -4.099281470163988E+07,
2373518.877083333, A.D. 1786-May-16 09:03:00.0000,  2.829391601591169E+08,  4.883995291536294E+07, -4.028650399129781E+07,
2373883.877083333, A.D. 1787-May-16 09:03:00.0000,  2.823554778810348E+08,  4.657096567828612E+07, -3.955076851792644E+07,
2374249.877083333, A.D. 1788-May-16 09:03:00.0000,  2.803405188837084E+08,  4.688895747721165E+07, -3.929086028222829E+07,
2374614.877083333, A.D. 1789-May-16 09:03:00.0000,  2.797376187113222E+08,  4.464118024143918E+07, -3.854282033740884E+07,
2374979.877083333, A.D. 1790-May-16 09:03:00.0000,  2.790717981311510E+08,  4.242903832819238E+07, -3.778942211072733E+07,
2375344.877083333, A.D. 1791-May-16 09:03:00.0000,  2.783369023531536E+08,  4.022449538531999E+07, -3.702263117606151E+07,
2375710.877083333, A.D. 1792-May-16 09:03:00.0000,  2.762594680462024E+08,  4.061305550351436E+07, -3.676007105312854E+07,
2376075.877083333, A.D. 1793-May-16 09:03:00.0000,  2.754914285602348E+08,  3.846832985935976E+07, -3.599603358238662E+07,
2376440.877083333, A.D. 1794-May-16 09:03:00.0000,  2.746932654520426E+08,  3.631600598815584E+07, -3.522317660489231E+07,
2376805.877083333, A.D. 1795-May-16 09:03:00.0000,  2.738384549231113E+08,  3.419267096885051E+07, -3.444013840059031E+07,
2377171.877083333, A.D. 1796-May-16 09:03:00.0000,  2.717398147889549E+08,  3.459538584613303E+07, -3.417189399790174E+07,
2377536.877083333, A.D. 1797-May-16 09:03:00.0000,  2.708427239255161E+08,  3.252406600944951E+07, -3.338912943346924E+07,
2377901.877083333, A.D. 1798-May-16 09:03:00.0000,  2.698870041434859E+08,  3.047406414682829E+07, -3.259897698381280E+07,
2378266.877083333, A.D. 1799-May-16 09:03:00.0000,  2.688794124715047E+08,  2.841860481959667E+07, -3.179628834861937E+07,
2378631.877083333, A.D. 1800-May-16 09:03:00.0000,  2.678571900559711E+08,  2.639063838904883E+07, -3.099094944420281E+07,
2378996.877083333, A.D. 1801-May-16 09:03:00.0000,  2.668091307749088E+08,  2.441391171284321E+07, -3.018379335141256E+07,
2379361.877083333, A.D. 1802-May-16 09:03:00.0000,  2.657073606554669E+08,  2.245191492163178E+07, -2.937112643799504E+07,
2379726.877083333, A.D. 1803-May-16 09:03:00.0000,  2.645566717437515E+08,  2.054072458626164E+07, -2.855655850392880E+07,
2380092.877083333, A.D. 1804-May-16 09:03:00.0000,  2.623867235015706E+08,  2.107137890790242E+07, -2.829057668738614E+07,
2380457.877083333, A.D. 1805-May-16 09:03:00.0000,  2.611965053431053E+08,  1.917039407338830E+07, -2.747248951405851E+07,
2380822.877083333, A.D. 1806-May-16 09:03:00.0000,  2.599581372680053E+08,  1.728606823949070E+07, -2.663749037005605E+07,
2381187.877083333, A.D. 1807-May-16 09:03:00.0000,  2.586678224197331E+08,  1.542878686617853E+07, -2.579871862088724E+07,
2381553.877083333, A.D. 1808-May-16 09:03:00.0000,  2.564719454911996E+08,  1.596702681712643E+07, -2.552277436048298E+07,
2381918.877083333, A.D. 1809-May-16 09:03:00.0000,  2.551317457792243E+08,  1.417233323278699E+07, -2.468066066205529E+07,
2382283.877083333, A.D. 1810-May-16 09:03:00.0000,  2.537040524614180E+08,  1.235682662578770E+07, -2.381889388870627E+07,
2382648.877083333, A.D. 1811-May-16 09:03:00.0000,  2.522491742305101E+08,  1.058119437036401E+07, -2.295644423558018E+07,
2383014.877083333, A.D. 1812-May-16 09:03:00.0000,  2.500077647488257E+08,  1.115238163264984E+07, -2.267592225327893E+07,
2383379.877083333, A.D. 1813-May-16 09:03:00.0000,  2.485496078368955E+08,  9.428875644262139E+06, -2.181179283226263E+07,
2383744.877083333, A.D. 1814-May-16 09:03:00.0000,  2.470027184558598E+08,  7.722394025900967E+06, -2.092683035205713E+07,
2384109.877083333, A.D. 1815-May-16 09:03:00.0000,  2.453602205851478E+08,  6.037720650407351E+06, -2.002470261243557E+07,
2384475.877083333, A.D. 1816-May-16 09:03:00.0000,  2.429763592542335E+08,  6.592229083390391E+06, -1.970458109607527E+07,
2384840.877083333, A.D. 1817-May-16 09:03:00.0000,  2.412743886611675E+08,  4.930063729160217E+06, -1.878393297974985E+07,
2385205.877083333, A.D. 1818-May-16 09:03:00.0000,  2.394997395167089E+08,  3.276408204222144E+06, -1.784994298667151E+07,
2385570.877083333, A.D. 1819-May-16 09:03:00.0000,  2.376746268455360E+08,  1.649712069636140E+06, -1.690930852802517E+07,
2385936.877083333, A.D. 1820-May-16 09:03:00.0000,  2.351985728636375E+08,  2.238806376042249E+06, -1.656120499909610E+07,
2386301.877083333, A.D. 1821-May-16 09:03:00.0000,  2.332406019208099E+08,  6.692345834858576E+05, -1.559590929615517E+07,
2386666.877083333, A.D. 1822-May-16 09:03:00.0000,  2.311946997366933E+08, -8.926211719505880E+05, -1.460789797952965E+07,
2387031.877083333, A.D. 1823-May-16 09:03:00.0000,  2.290842670767288E+08, -2.423651512499420E+06, -1.360662542784402E+07,
2387397.877083333, A.D. 1824-May-16 09:03:00.0000,  2.264468352901418E+08, -1.850988884450979E+06, -1.321381851768042E+07,
2387762.877083333, A.D. 1825-May-16 09:03:00.0000,  2.242579509193280E+08, -3.309694414421361E+06, -1.219119414304166E+07,
2388127.877083333, A.D. 1826-May-16 09:03:00.0000,  2.219480898905702E+08, -4.735773321142971E+06, -1.115103465251464E+07,
2388492.877083333, A.D. 1827-May-16 09:03:00.0000,  2.195459373058308E+08, -6.132465820718503E+06, -1.009357778711740E+07,
2388858.877083333, A.D. 1828-May-16 09:03:00.0000,  2.166957260535735E+08, -5.513133069289978E+06, -9.646592745269515E+06,
2389223.877083333, A.D. 1829-May-16 09:03:00.0000,  2.141592803955409E+08, -6.848614567570831E+06, -8.561086783989716E+06,
2389588.877083333, A.D. 1830-May-16 09:03:00.0000,  2.115795544428805E+08, -8.120668118075557E+06, -7.476635258700464E+06,
2389953.877083333, A.D. 1831-May-16 09:03:00.0000,  2.089725327322351E+08, -9.318085634257011E+06, -6.399711906013427E+06,
2390319.877083333, A.D. 1832-May-16 09:03:00.0000,  2.060271049330689E+08, -8.611112025063202E+06, -5.944993250436369E+06,
2390684.877083333, A.D. 1833-May-16 09:03:00.0000,  2.032460305370275E+08, -9.720915004602091E+06, -4.841147342658620E+06,
2391049.877083333, A.D. 1834-May-16 09:03:00.0000,  2.003469732439871E+08, -1.079825660762039E+07, -3.715863560210971E+06,
2391414.877083333, A.D. 1835-May-16 09:03:00.0000,  1.973968555008674E+08, -1.182005253601344E+07, -2.586033169511827E+06,
2391780.877083333, A.D. 1836-May-16 09:03:00.0000,  1.942851682010410E+08, -1.103821614160642E+07, -2.091148224716216E+06,
2392145.877083333, A.D. 1837-May-16 09:03:00.0000,  1.912429753083787E+08, -1.191686796975910E+07, -9.559164175860854E+05,
2392510.877083333, A.D. 1838-May-16 09:03:00.0000,  1.881147284061013E+08, -1.273660970944455E+07,  1.864252470993754E+05,
2392875.877083333, A.D. 1839-May-16 09:03:00.0000,  1.848750771012082E+08, -1.345281075710405E+07,  1.338689761795940E+06,
2393241.877083333, A.D. 1840-May-16 09:03:00.0000,  1.815294043222411E+08, -1.255586072239794E+07,  1.864408383265514E+06,
2393606.877083333, A.D. 1841-May-16 09:03:00.0000,  1.781914889273137E+08, -1.315693644494389E+07,  3.026000710786632E+06,
2393971.877083333, A.D. 1842-May-16 09:03:00.0000,  1.747929447873195E+08, -1.366957741651974E+07,  4.180700862790888E+06,
2394336.877083333, A.D. 1843-May-16 09:03:00.0000,  1.713405248720217E+08, -1.408425653205056E+07,  5.324989434724709E+06,
2394702.877083333, A.D. 1844-May-16 09:03:00.0000,  1.678887015233238E+08, -1.300982604222345E+07,  5.849907869109672E+06,
2395067.877083333, A.D. 1845-May-16 09:03:00.0000,  1.642184287857086E+08, -1.324931753596522E+07,  7.012618228279843E+06,
2395432.877083333, A.D. 1846-May-16 09:03:00.0000,  1.605079365057563E+08, -1.342638025981995E+07,  8.174799390079159E+06,
2395797.877083333, A.D. 1847-May-16 09:03:00.0000,  1.567641455890635E+08, -1.346629860428023E+07,  9.325757648171403E+06,
2396163.877083333, A.D. 1848-May-16 09:03:00.0000,  1.531684926315085E+08, -1.223308561178070E+07,  9.855659537316585E+06,
2396528.877083333, A.D. 1849-May-16 09:03:00.0000,  1.493580626727110E+08, -1.207298442102585E+07,  1.098727582911933E+07,
2396893.877083333, A.D. 1850-May-16 09:03:00.0000,  1.455089364883298E+08, -1.179628731180728E+07,  1.209942823594314E+07,
2397258.877083333, A.D. 1851-May-16 09:03:00.0000,  1.415727504854710E+08, -1.140087471822803E+07,  1.320423188817527E+07,
2397624.877083333, A.D. 1852-May-16 09:03:00.0000,  1.379275279279331E+08, -9.966722325020947E+06,  1.370655877494503E+07,
2397989.877083333, A.D. 1853-May-16 09:03:00.0000,  1.339219772157815E+08, -9.377579011930728E+06,  1.479674177150303E+07,
2398354.877083333, A.D. 1854-May-16 09:03:00.0000,  1.299114120229844E+08, -8.673324827548977E+06,  1.586069443856610E+07,
2398719.877083333, A.D. 1855-May-16 09:03:00.0000,  1.259010197419796E+08, -7.802339947185488E+06,  1.689461799042389E+07,
2399085.877083333, A.D. 1856-May-16 09:03:00.0000,  1.222252513880876E+08, -6.132609816119528E+06,  1.734759738634932E+07,
2399450.877083333, A.D. 1857-May-16 09:03:00.0000,  1.180986631035246E+08, -5.045033012086937E+06,  1.835712389652956E+07,
2399815.877083333, A.D. 1858-May-16 09:03:00.0000,  1.139450722329094E+08, -3.810193173749352E+06,  1.934629023313075E+07,
2400180.877083333, A.D. 1859-May-16 09:03:00.0000,  1.097846375189723E+08, -2.421727315555931E+06,  2.030292525766287E+07,
2400546.877083333, A.D. 1860-May-16 09:03:00.0000,  1.061821024471859E+08, -5.532551437322702E+05,  2.070697515970393E+07,
2400911.877083333, A.D. 1861-May-16 09:03:00.0000,  1.020851067533734E+08,  1.072922322276234E+06,  2.159972612533747E+07,
2401276.877083333, A.D. 1862-May-16 09:03:00.0000,  9.796728829288456E+07,  2.850359377519540E+06,  2.246060346554621E+07,
2401641.877083333, A.D. 1863-May-16 09:03:00.0000,  9.376688122485839E+07,  4.849129136547039E+06,  2.330010061863790E+07,
2402007.877083333, A.D. 1864-May-16 09:03:00.0000,  9.011568650723109E+07,  6.971015409480245E+06,  2.365081141398031E+07,
2402372.877083333, A.D. 1865-May-16 09:03:00.0000,  8.599564103226127E+07,  9.177558502875069E+06,  2.442769320704728E+07,
2402737.877083333, A.D. 1866-May-16 09:03:00.0000,  8.193263620527735E+07,  1.156030286421358E+07,  2.514957886559155E+07,
2403102.877083333, A.D. 1867-May-16 09:03:00.0000,  7.786710378324604E+07,  1.415073068831638E+07,  2.582045066500487E+07,
2403468.877083333, A.D. 1868-May-16 09:03:00.0000,  7.441328959124012E+07,  1.648300541379501E+07,  2.607331759088461E+07,
2403833.877083333, A.D. 1869-May-16 09:03:00.0000,  7.045368529532938E+07,  1.930497839419520E+07,  2.666173751186771E+07,
2404198.877083333, A.D. 1870-May-16 09:03:00.0000,  6.660342471974883E+07,  2.224097553180518E+07,  2.719595722630558E+07,
2404563.877083333, A.D. 1871-May-16 09:03:00.0000,  6.286866406003059E+07,  2.536153457628603E+07,  2.766685953481142E+07,
2404929.877083333, A.D. 1872-May-16 09:03:00.0000,  5.970942658039649E+07,  2.776593578290109E+07,  2.782445978556237E+07,
2405294.877083333, A.D. 1873-May-16 09:03:00.0000,  5.614135827683188E+07,  3.109990942212055E+07,  2.819976110573734E+07,
2405659.877083333, A.D. 1874-May-16 09:03:00.0000,  5.268314103794771E+07,  3.459321713537726E+07,  2.850943886579426E+07,
2406024.877083333, A.D. 1875-May-16 09:03:00.0000,  4.930173648192762E+07,  3.825182151911163E+07,  2.875133662800162E+07,
2406390.877083333, A.D. 1876-May-16 09:03:00.0000,  4.647593034822865E+07,  4.063765423502328E+07,  2.881764493221982E+07,
2406755.877083333, A.D. 1877-May-16 09:03:00.0000,  4.339185442349066E+07,  4.439545806205179E+07,  2.896581951186367E+07,
2407120.877083333, A.D. 1878-May-16 09:03:00.0000,  4.045609025900411E+07,  4.827246987213795E+07,  2.903834420881847E+07,
2407485.877083333, A.D. 1879-May-16 09:03:00.0000,  3.770596151452695E+07,  5.229657339271033E+07,  2.903311011839008E+07,
2407851.877083333, A.D. 1880-May-16 09:03:00.0000,  3.521621068582261E+07,  5.462661282972528E+07,  2.900887987425123E+07,
2408216.877083333, A.D. 1881-May-16 09:03:00.0000,  3.274425462126856E+07,  5.865396885792058E+07,  2.891778575262735E+07,
2408581.877083333, A.D. 1882-May-16 09:03:00.0000,  3.046989697923596E+07,  6.275017053051545E+07,  2.876344781810949E+07,
2408946.877083333, A.D. 1883-May-16 09:03:00.0000,  2.838567861719702E+07,  6.689642005919263E+07,  2.853669019614940E+07,
2409312.877083333, A.D. 1884-May-16 09:03:00.0000,  2.634360358539759E+07,  6.882910031839265E+07,  2.848387603830572E+07,
2409677.877083333, A.D. 1885-May-16 09:03:00.0000,  2.460531181550517E+07,  7.289025512657622E+07,  2.818457095656134E+07,
2410042.877083333, A.D. 1886-May-16 09:03:00.0000,  2.304325420480219E+07,  7.694523636559859E+07,  2.782805977681218E+07,
2410407.877083333, A.D. 1887-May-16 09:03:00.0000,  2.173105885621648E+07,  8.090078301516908E+07,  2.742900534421801E+07,
2410773.877083333, A.D. 1888-May-16 09:03:00.0000,  2.007554695463382E+07,  8.212278187723829E+07,  2.741586119426116E+07,
2411138.877083333, A.D. 1889-May-16 09:03:00.0000,  1.912125647176225E+07,  8.562002165391308E+07,  2.701436843739877E+07,
2411503.877083333, A.D. 1890-May-16 09:03:00.0000,  1.835490834089090E+07,  8.902982621798041E+07,  2.658080139339932E+07,
2411868.877083333, A.D. 1891-May-16 09:03:00.0000,  1.772992725306113E+07,  9.235020099118724E+07,  2.611658751159035E+07,
2412234.877083333, A.D. 1892-May-16 09:03:00.0000,  1.635158608457732E+07,  9.279761420633118E+07,  2.619035125922217E+07,
2412599.877083333, A.D. 1893-May-16 09:03:00.0000,  1.595356206313840E+07,  9.566873564912584E+07,  2.576843624064263E+07,
2412964.877083333, A.D. 1894-May-16 09:03:00.0000,  1.570006135762439E+07,  9.828597774864842E+07,  2.535368125143803E+07,
2413329.877083333, A.D. 1895-May-16 09:03:00.0000,  1.561378614311081E+07,  1.006517798670274E+08,  2.495518821262978E+07,
2413695.877083333, A.D. 1896-May-16 09:03:00.0000,  1.444250494449846E+07,  1.000093007286189E+08,  2.521354580926192E+07,
2414060.877083333, A.D. 1897-May-16 09:03:00.0000,  1.447149737376943E+07,  1.019593564614988E+08,  2.486660424379281E+07,
2414425.877083333, A.D. 1898-May-16 09:03:00.0000,  1.458106058832368E+07,  1.037310749022020E+08,  2.453954477805714E+07,
2414790.877083333, A.D. 1899-May-16 09:03:00.0000,  1.473585544027264E+07,  1.052770717452840E+08,  2.423932046050207E+07,
2415155.877083333, A.D. 1900-May-16 09:03:00.0000,  1.499173694839405E+07,  1.065217451217870E+08,  2.398017935752099E+07,
2415520.877083333, A.D. 1901-May-16 09:03:00.0000,  1.532744087783115E+07,  1.074847933318708E+08,  2.376437508384978E+07,
2415885.877083333, A.D. 1902-May-16 09:03:00.0000,  1.569001527467677E+07,  1.082669817117563E+08,  2.356772190450099E+07,
2416250.877083333, A.D. 1903-May-16 09:03:00.0000,  1.611150713484062E+07,  1.088558475696912E+08,  2.340114552133470E+07,
2416616.877083333, A.D. 1904-May-16 09:03:00.0000,  1.509274763608982E+07,  1.064367583583335E+08,  2.400912097653572E+07,
2416981.877083333, A.D. 1905-May-16 09:03:00.0000,  1.553421109067565E+07,  1.065884472981228E+08,  2.392954072757583E+07,
2417346.877083333, A.D. 1906-May-16 09:03:00.0000,  1.604372379937302E+07,  1.064500898418113E+08,  2.389771576749974E+07,
2417711.877083333, A.D. 1907-May-16 09:03:00.0000,  1.657095758450831E+07,  1.061020670691346E+08,  2.390073632381146E+07,
2418077.877083333, A.D. 1908-May-16 09:03:00.0000,  1.585204708934534E+07,  1.026383022958403E+08,  2.464723012237720E+07,
2418442.877083333, A.D. 1909-May-16 09:03:00.0000,  1.651087691646746E+07,  1.017848058122376E+08,  2.472750813867183E+07,
2418807.877083333, A.D. 1910-May-16 09:03:00.0000,  1.718015305386415E+07,  1.007241634479479E+08,  2.483907675869017E+07,
2419172.877083333, A.D. 1911-May-16 09:03:00.0000,  1.792337448112510E+07,  9.936330585475522E+07,  2.499726898866708E+07,
2419538.877083333, A.D. 1912-May-16 09:03:00.0000,  1.770281983076677E+07,  9.501315538698339E+07,  2.579567372068766E+07,
2419903.877083333, A.D. 1913-May-16 09:03:00.0000,  1.864929657704436E+07,  9.316443328295010E+07,  2.600082924681660E+07,
2420268.877083333, A.D. 1914-May-16 09:03:00.0000,  1.969614637443646E+07,  9.112380458447169E+07,  2.622095962251898E+07,
2420633.877083333, A.D. 1915-May-16 09:03:00.0000,  2.078701694025981E+07,  8.897967497496298E+07,  2.644425997010706E+07,
2420999.877083333, A.D. 1916-May-16 09:03:00.0000,  2.129051930548780E+07,  8.406743465652928E+07,  2.714212410598296E+07,
2421364.877083333, A.D. 1917-May-16 09:03:00.0000,  2.268827976399197E+07,  8.146553503873470E+07,  2.738304806732980E+07,
2421729.877083333, A.D. 1918-May-16 09:03:00.0000,  2.418449889635835E+07,  7.869945211595216E+07,  2.762258708184507E+07,
2422094.877083333, A.D. 1919-May-16 09:03:00.0000,  2.583470346281099E+07,  7.575378684035766E+07,  2.786069482490201E+07,
2422460.877083333, A.D. 1920-May-16 09:03:00.0000,  2.736052922497354E+07,  7.040646070338421E+07,  2.836671174056850E+07,
2422825.877083333, A.D. 1921-May-16 09:03:00.0000,  2.934374272213496E+07,  6.728162358083159E+07,  2.854222185187647E+07,
2423190.877083333, A.D. 1922-May-16 09:03:00.0000,  3.142709497302306E+07,  6.411780282299528E+07,  2.869901205009149E+07,
2423555.877083333, A.D. 1923-May-16 09:03:00.0000,  3.360894487599658E+07,  6.090752549841595E+07,  2.883311406415829E+07,
2423921.877083333, A.D. 1924-May-16 09:03:00.0000,  3.603162396206286E+07,  5.571270215758917E+07,  2.903837303904069E+07,
2424286.877083333, A.D. 1925-May-16 09:03:00.0000,  3.859336645853655E+07,  5.243213631825306E+07,  2.908563052721835E+07,
2424651.877083333, A.D. 1926-May-16 09:03:00.0000,  4.123525409544381E+07,  4.918063759765705E+07,  2.909695696946528E+07,
2425016.877083333, A.D. 1927-May-16 09:03:00.0000,  4.398891699779593E+07,  4.593853081432389E+07,  2.906993825052012E+07,
2425382.877083333, A.D. 1928-May-16 09:03:00.0000,  4.720641042651454E+07,  4.127958669359653E+07,  2.892650073210781E+07,
2425747.877083333, A.D. 1929-May-16 09:03:00.0000,  5.026668004432946E+07,  3.805632143536284E+07,  2.880819189678076E+07,
2426112.877083333, A.D. 1930-May-16 09:03:00.0000,  5.342661447895180E+07,  3.487793481016889E+07,  2.865546126458720E+07,
2426477.877083333, A.D. 1931-May-16 09:03:00.0000,  5.665167497906227E+07,  3.179693417312888E+07,  2.846462708531905E+07,
2426843.877083333, A.D. 1932-May-16 09:03:00.0000,  6.047055259530644E+07,  2.781069299672108E+07,  2.800332503540836E+07,
2427208.877083333, A.D. 1933-May-16 09:03:00.0000,  6.387586415046717E+07,  2.493720736451092E+07,  2.771526201985624E+07,
2427573.877083333, A.D. 1934-May-16 09:03:00.0000,  6.730085416101602E+07,  2.214067192732314E+07,  2.739757657234850E+07,
2427938.877083333, A.D. 1935-May-16 09:03:00.0000,  7.080883458538410E+07,  1.937149611514184E+07,  2.704706760595509E+07,
2428304.877083333, A.D. 1936-May-16 09:03:00.0000,  7.500408539650929E+07,  1.617258313543376E+07,  2.631148363156151E+07,
2428669.877083333, A.D. 1937-May-16 09:03:00.0000,  7.870561109014037E+07,  1.359157917908205E+07,  2.587032187642325E+07,
2429034.877083333, A.D. 1938-May-16 09:03:00.0000,  8.249732801573859E+07,  1.106816982905193E+07,  2.539083789772176E+07,
2429399.877083333, A.D. 1939-May-16 09:03:00.0000,  8.625901567128173E+07,  8.696571635777902E+06,  2.488255796928975E+07,
2429765.877083333, A.D. 1940-May-16 09:03:00.0000,  9.062920820371373E+07,  6.295126967935177E+06,  2.390616849515820E+07,
2430130.877083333, A.D. 1941-May-16 09:03:00.0000,  9.450031135332811E+07,  4.087397691563837E+06,  2.333352506455539E+07,
2430495.877083333, A.D. 1942-May-16 09:03:00.0000,  9.839444726380774E+07,  1.970509898739466E+06,  2.273437013136411E+07,
2430860.877083333, A.D. 1943-May-16 09:03:00.0000,  1.022866659023289E+08, -5.040079105190188E+04,  2.211575536223073E+07,
2431226.877083333, A.D. 1944-May-16 09:03:00.0000,  1.067383847003832E+08, -1.658379010917166E+06,  2.096157014437652E+07,
2431591.877083333, A.D. 1945-May-16 09:03:00.0000,  1.106168578597255E+08, -3.421041452558666E+06,  2.029065496583466E+07,
2431956.877083333, A.D. 1946-May-16 09:03:00.0000,  1.145055318550787E+08, -5.122718855850193E+06,  1.959987960837660E+07,
2432321.877083333, A.D. 1947-May-16 09:03:00.0000,  1.183602936836092E+08, -6.717522400795948E+06,  1.889799322103128E+07,
2432687.877083333, A.D. 1948-May-16 09:03:00.0000,  1.227375997141202E+08, -7.634784026592664E+06,  1.761076727975965E+07,
2433052.877083333, A.D. 1949-May-16 09:03:00.0000,  1.267012445601608E+08, -9.063851612766529E+06,  1.684672614341041E+07,
2433417.877083333, A.D. 1950-May-16 09:03:00.0000,  1.306439012697190E+08, -1.038958375779369E+07,  1.606311289947618E+07,
2433782.877083333, A.D. 1951-May-16 09:03:00.0000,  1.344766353025809E+08, -1.161471261346667E+07,  1.528012682615095E+07,
2434148.877083333, A.D. 1952-May-16 09:03:00.0000,  1.386376939510676E+08, -1.185292489856775E+07,  1.390191301610636E+07,
2434513.877083333, A.D. 1953-May-16 09:03:00.0000,  1.424055179550277E+08, -1.291352054860938E+07,  1.310684822565166E+07,
2434878.877083333, A.D. 1954-May-16 09:03:00.0000,  1.461722384196932E+08, -1.390755786731941E+07,  1.230007857663148E+07,
2435243.877083333, A.D. 1955-May-16 09:03:00.0000,  1.499003601804988E+08, -1.479636805812990E+07,  1.148712225315368E+07,
2435609.877083333, A.D. 1956-May-16 09:03:00.0000,  1.538749748807898E+08, -1.445750460636909E+07,  1.004650322788282E+07,
2435974.877083333, A.D. 1957-May-16 09:03:00.0000,  1.575272795482486E+08, -1.517935785032273E+07,  9.215940915808704E+06,
2436339.877083333, A.D. 1958-May-16 09:03:00.0000,  1.611225087513697E+08, -1.583590604362718E+07,  8.382948654664181E+06,
2436704.877083333, A.D. 1959-May-16 09:03:00.0000,  1.646882658009170E+08, -1.644712529727000E+07,  7.547248765630493E+06,
2437070.877083333, A.D. 1960-May-16 09:03:00.0000,  1.683914473419998E+08, -1.562295056465006E+07,  6.082426803397428E+06,
2437435.877083333, A.D. 1961-May-16 09:03:00.0000,  1.719028780090104E+08, -1.607356284457241E+07,  5.234380532682666E+06,
2437800.877083333, A.D. 1962-May-16 09:03:00.0000,  1.753973099328190E+08, -1.646576992214782E+07,  4.377076240263775E+06,
2438165.877083333, A.D. 1963-May-16 09:03:00.0000,  1.788075989454642E+08, -1.678010590368721E+07,  3.521647897028648E+06,
2438531.877083333, A.D. 1964-May-16 09:03:00.0000,  1.821602362544058E+08, -1.550384626725277E+07,  2.050037769068599E+06,
2438896.877083333, A.D. 1965-May-16 09:03:00.0000,  1.854226111621219E+08, -1.573600206446574E+07,  1.222091380807645E+06,
2439261.877083333, A.D. 1966-May-16 09:03:00.0000,  1.886630272736425E+08, -1.591515210457339E+07,  3.931369179474795E+05,
2439626.877083333, A.D. 1967-May-16 09:03:00.0000,  1.918592134018598E+08, -1.603318714957820E+07, -4.354332937906096E+05,
2439992.877083333, A.D. 1968-May-16 09:03:00.0000,  1.949249245239648E+08, -1.437842498750043E+07, -1.895546600752867E+06,
2440357.877083333, A.D. 1969-May-16 09:03:00.0000,  1.979949217059554E+08, -1.436879280837493E+07, -2.714551706462377E+06,
2440722.877083333, A.D. 1970-May-16 09:03:00.0000,  2.010181712468628E+08, -1.434153769760720E+07, -3.532177929930672E+06,
2441087.877083333, A.D. 1971-May-16 09:03:00.0000,  2.039927793322268E+08, -1.428374787789420E+07, -4.343251926362883E+06,
2441453.877083333, A.D. 1972-May-16 09:03:00.0000,  2.067279607133675E+08, -1.233025421303935E+07, -5.772301679661311E+06,
2441818.877083333, A.D. 1973-May-16 09:03:00.0000,  2.095861490438733E+08, -1.219450108896009E+07, -6.558556098238910E+06,
2442183.877083333, A.D. 1974-May-16 09:03:00.0000,  2.124043359250548E+08, -1.202356071319733E+07, -7.342327314831752E+06,
2442548.877083333, A.D. 1975-May-16 09:03:00.0000,  2.151240642271014E+08, -1.180734077819550E+07, -8.114791541455943E+06,
2442914.877083333, A.D. 1976-May-16 09:03:00.0000,  2.174616146929171E+08, -9.612308022333812E+06, -9.490741600972388E+06,
2443279.877083333, A.D. 1977-May-16 09:03:00.0000,  2.200521541045973E+08, -9.370360820177803E+06, -1.022434662373816E+07,
2443644.877083333, A.D. 1978-May-16 09:03:00.0000,  2.225990868749607E+08, -9.104494649989303E+06, -1.095115965037389E+07,
2444009.877083333, A.D. 1979-May-16 09:03:00.0000,  2.251020502668284E+08, -8.811385556828961E+06, -1.167123947370824E+07,
2444375.877083333, A.D. 1980-May-16 09:03:00.0000,  2.271700165691726E+08, -6.382975337217281E+06, -1.300700882506622E+07,
2444740.877083333, A.D. 1981-May-16 09:03:00.0000,  2.295480691576639E+08, -6.034776133637642E+06, -1.370277316079263E+07,
2445105.877083333, A.D. 1982-May-16 09:03:00.0000,  2.318762075132753E+08, -5.673044210852838E+06, -1.439523243710906E+07,
2445470.877083333, A.D. 1983-May-16 09:03:00.0000,  2.341819926286641E+08, -5.291248879446722E+06, -1.507989460132628E+07,
2445836.877083333, A.D. 1984-May-16 09:03:00.0000,  2.359401912657629E+08, -2.725586770094988E+06, -1.636236928035154E+07,
2446201.877083333, A.D. 1985-May-16 09:03:00.0000,  2.381492048974355E+08, -2.321012545187035E+06, -1.701685276167603E+07,
2446566.877083333, A.D. 1986-May-16 09:03:00.0000,  2.402946964726369E+08, -1.891553994946548E+06, -1.766430361050680E+07,
2446931.877083333, A.D. 1987-May-16 09:03:00.0000,  2.423755818518335E+08, -1.465854208527539E+06, -1.830239390298266E+07,
2447297.877083333, A.D. 1988-May-16 09:03:00.0000,  2.438101871654141E+08,  1.232589916760115E+06, -1.952238720609808E+07,
2447662.877083333, A.D. 1989-May-16 09:03:00.0000,  2.458055981092260E+08,  1.657234352706084E+06, -2.013065843823030E+07,
2448027.877083333, A.D. 1990-May-16 09:03:00.0000,  2.477968561416056E+08,  2.121042277618629E+06, -2.074271515235431E+07,
2448392.877083333, A.D. 1991-May-16 09:03:00.0000,  2.497850426642471E+08,  2.621910644458539E+06, -2.135792329199813E+07,
2448758.877083333, A.D. 1992-May-16 09:03:00.0000,  2.510281725725573E+08,  5.466296737015063E+06, -2.255497388768751E+07,
2449123.877083333, A.D. 1993-May-16 09:03:00.0000,  2.529034492763647E+08,  5.969391070600860E+06, -2.313686020455657E+07,
2449488.877083333, A.D. 1994-May-16 09:03:00.0000,  2.547133958140909E+08,  6.477817839340600E+06, -2.370909695303777E+07,
2449853.877083333, A.D. 1995-May-16 09:03:00.0000,  2.564978385723457E+08,  6.963665044298654E+06, -2.427152366546402E+07,
